id,happiness,happy_num,labor,hours,marital,ballot
1,Pretty happy,2,Working fulltime,50,Married,Ballot a
2,Pretty happy,2,Working fulltime,42,Never married,Ballot b
4,Pretty happy,2,Working parttime,30,Married,Ballot a
5,Very happy,3,Working parttime,5,Married,Ballot c
7,Pretty happy,2,Working fulltime,55,Married,Ballot a
8,Very happy,3,Working parttime,30,Married,Ballot c
9,Pretty happy,2,Working fulltime,80,Married,Ballot a
13,Very happy,3,Working parttime,39,Married,Ballot b
16,Pretty happy,2,Working fulltime,42,Never married,Ballot c
19,Pretty happy,2,Working fulltime,40,Never married,Ballot b
20,Pretty happy,2,Working fulltime,40,Divorced,Ballot a
21,Pretty happy,2,Working fulltime,40,Never married,Ballot b
23,Very happy,3,Working parttime,15,Never married,Ballot b
25,Pretty happy,2,Working fulltime,50,Divorced,Ballot c
28,Not too happy,1,Working parttime,4,Never married,Ballot b
32,Pretty happy,2,Working fulltime,50,Married,Ballot c
33,Pretty happy,2,Working fulltime,40,Married,Ballot a
36,Not too happy,1,Working fulltime,40,Never married,Ballot b
37,Not too happy,1,Working parttime,25,Married,Ballot b
38,Pretty happy,2,Working fulltime,40,Married,Ballot a
39,Very happy,3,Working fulltime,65,Never married,Ballot c
41,Pretty happy,2,Working fulltime,39,Never married,Ballot c
42,Not too happy,1,Working parttime,10,Married,Ballot a
43,Pretty happy,2,Working parttime,6,Married,Ballot b
44,Not too happy,1,Working fulltime,45,Never married,Ballot c
46,Very happy,3,Working fulltime,45,Never married,Ballot c
47,Pretty happy,2,Working fulltime,44,Never married,Ballot b
48,Not too happy,1,Working fulltime,40,Married,Ballot a
50,Very happy,3,Working fulltime,50,Divorced,Ballot b
51,Very happy,3,Working fulltime,50,Never married,Ballot b
53,Very happy,3,Working parttime,20,Never married,Ballot b
54,Very happy,3,Working fulltime,45,Married,Ballot c
55,Very happy,3,Working parttime,4,Married,Ballot a
56,Pretty happy,2,Working parttime,35,Married,Ballot b
57,Pretty happy,2,Working fulltime,40,Divorced,Ballot b
58,Pretty happy,2,Working fulltime,40,Divorced,Ballot b
59,Pretty happy,2,Working fulltime,40,Divorced,Ballot c
61,Pretty happy,2,Working fulltime,37,Never married,Ballot c
66,Pretty happy,2,Working fulltime,40,Never married,Ballot c
67,Pretty happy,2,Working fulltime,40,Never married,Ballot b
72,Very happy,3,Working fulltime,35,Divorced,Ballot a
75,Very happy,3,Working parttime,14,Married,Ballot a
77,Pretty happy,2,Working parttime,50,Never married,Ballot a
78,Pretty happy,2,Working fulltime,40,Never married,Ballot a
80,Very happy,3,Working fulltime,37,Never married,Ballot c
81,Pretty happy,2,Working fulltime,45,Married,Ballot a
82,Not too happy,1,Working fulltime,60,Separated,Ballot c
83,Very happy,3,Working fulltime,48,Married,Ballot a
84,Very happy,3,Working fulltime,40,Divorced,Ballot c
85,Pretty happy,2,Working fulltime,46,Married,Ballot c
86,Pretty happy,2,Working fulltime,48,Divorced,Ballot a
87,Pretty happy,2,Working fulltime,40,Never married,Ballot b
88,Pretty happy,2,Working fulltime,50,Divorced,Ballot a
89,Very happy,3,Working fulltime,40,Separated,Ballot c
94,Pretty happy,2,Working fulltime,40,Never married,Ballot c
95,Pretty happy,2,Working fulltime,70,Never married,Ballot c
98,Very happy,3,Working fulltime,45,Never married,Ballot b
99,Pretty happy,2,Working fulltime,40,Never married,Ballot c
100,Pretty happy,2,Working parttime,30,Never married,Ballot c
101,Pretty happy,2,Working fulltime,37,Married,Ballot c
105,Pretty happy,2,Working fulltime,42,Married,Ballot c
110,Very happy,3,Working parttime,4,Married,Ballot c
111,Pretty happy,2,Working fulltime,40,Married,Ballot a
112,Very happy,3,Working fulltime,50,Divorced,Ballot c
113,Pretty happy,2,Working fulltime,51,Married,Ballot a
114,Pretty happy,2,Working fulltime,35,Married,Ballot b
115,Very happy,3,Working fulltime,60,Married,Ballot b
116,Pretty happy,2,Working parttime,15,Married,Ballot c
118,Very happy,3,Working fulltime,45,Married,Ballot b
121,Very happy,3,Working fulltime,40,Married,Ballot a
122,Very happy,3,Working parttime,20,Never married,Ballot c
123,Pretty happy,2,Working parttime,25,Never married,Ballot c
124,Pretty happy,2,Working fulltime,40,Divorced,Ballot a
127,Very happy,3,Working fulltime,40,Married,Ballot a
128,Very happy,3,Working fulltime,50,Never married,Ballot c
129,Pretty happy,2,Working fulltime,40,Never married,Ballot b
130,Pretty happy,2,Working fulltime,65,Married,Ballot a
132,Pretty happy,2,Working fulltime,40,Never married,Ballot a
134,Very happy,3,Working fulltime,52,Never married,Ballot a
135,Not too happy,1,Working fulltime,50,Married,Ballot c
